leverantör,year,belopp
"4SOUND GÖTEBORG, MUSIC RETAIL SWEDEN AB",2016,781769.9799999995
"4SOUND GÖTEBORG, MUSIC RETAIL SWEDEN AB",2017,807239.1499999996
"4SOUND GÖTEBORG, MUSIC RETAIL SWEDEN AB",2018,2947.2
"4SOUND GÖTEBORG, MUSIC RETAIL SWEDEN AB",2019,91866.5
4SOUND MUSIC RETAIL SWEDEN AB,2019,447.2
"4SOUND WEBSHOP, MUSIC RETAIL SWEDEN AB",2016,18804.800000000003
"4SOUND WEBSHOP, MUSIC RETAIL SWEDEN AB",2017,28728.800000000003
"4SOUND WEBSHOP, MUSIC RETAIL SWEDEN AB",2018,32534.4
"4SOUND WEBSHOP, MUSIC RETAIL SWEDEN AB",2019,15071.400000000001
57 00 00 I GÖTEBORG AB,2016,900.0
57 00 00 I GÖTEBORG AB,2017,2061.55
57 00 00 I GÖTEBORG AB (FB),2017,92948.9
57 00 00 I GÖTEBORG AB (FB),2018,16708.809999999998
57 00 00 I GÖTEBORG AB (FB),2019,4318.5
570000 I GBG AB (FB),2016,232.0
5D SECURITY AB (FB),2016,5795.0
5IVELEMENTS,2017,27300.0
5IVELEMENTS,2018,49753.520000000004
5LAND AB,2016,25000.0
5LAND AB,2018,43783.03
6IX FORM HB,2018,25000.0
7-SÄK SVENSK FÖRENING FÖR SJUKVÅRDSSÄKERHET,2016,2695.0
7-SÄK SVENSK FÖRENING FÖR SJUKVÅRDSSÄKERHET,2017,350.0
7-SÄK SVENSK FÖRENING FÖR SJUKVÅRDSSÄKERHET,2019,35200.0
80-PING PONG AB,2016,1980301.0
811 KOMMANDITBOLAGET SKARAGATAN 5,2017,2552.0
8925 SOPSUG I HAGA,2016,32000.0
8925 SOPSUG I HAGA,2017,20000.0
8925 SOPSUG I HAGA,2018,33000.0
8925 SOPSUG I HAGA,2019,44000.0
9603 HSB FAST. I KVIBERG AB,2018,150.0
9603 HSB FAST. I KVIBERG AB,2019,250.0
9611 HYRESFASTIGHETER HSB,2016,9337.0
9611 HYRESFASTIGHETER HSB,2017,802.0
9611 HYRESFASTIGHETER HSB,2018,305.0
9923 LIVING LAB HB,2016,150000.0
A & N RESTAURANG AB,2016,1490.0
A & T CARLSSON KONSULT AB,2019,135750.5
A & T IMPEX,2017,1473.0
A & T IMPEX,2019,1336.0
A E SÄKER VÄRDEHANTERING,2016,10599.5
A E SÄKER VÄRDEHANTERING,2017,2510.5
A ERIKSSONS KORROSIONSKONSULT AB,2017,4350.5
A ERIKSSONS KORROSIONSKONSULT AB,2018,8950.5
A FAST FLOWER AB,2016,16111.0
